order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,backward,9,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
1,DB02_to_DK02,backward,9,105.54840731576687,21.0194960959952,1019.3200019484922,1615.7993145271644,0.0
2,DB02_to_DK02,backward,9,105.54843364467818,21.0194786277211,1022.0530996954905,1613.8569310699531,0.0
3,DB02_to_DK02,backward,9,105.54886118997146,21.017573670934123,1066.434846586282,1402.0354008811637,0.0
4,DB02_to_DK02,backward,9,105.55035876678349,21.013924028705706,1221.89223569735,996.2137010134913,0.0
5,DB02_to_DK02,backward,9,105.55370944091958,21.009686830131248,1569.7121597089565,525.0587163481864,0.0
6,DB02_to_DK02,backward,9,105.55344440378786,21.008514122651267,1542.1997275032838,394.65959413614894,0.0
7,DB02_to_DK02,backward,9,105.55323491718171,21.005478066607417,1520.453770578192,57.06556505143453,0.0
8,DB02_to_DK02,backward,9,105.55335305617919,21.005337747653986,1532.7173018728788,41.462809317884506,0.0
9,DB02_to_DK02,backward,9,105.55117258986795,21.00176537247279,1306.3719170689585,-355.7671869020893,0.0
10,DB02_to_DK02,backward,9,105.54941580249361,20.99657130978301,1124.0069283444602,-933.3206066791646,0.0
11,DB02_to_DK02,backward,9,105.54805737559617,20.993462698522187,982.9941288145308,-1278.9824077929584,0.0
12,DB02_to_DK02,backward,9,105.54652737011355,20.99215929188398,824.1704506261918,-1423.9146133166098,0.0
13,DB02_to_DK02,backward,9,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
