x,y,z,slowness,label,label_prefix,order,node_index,pair_name,direction,route_rank,x_m,y_m,flyable
105.54310305,21.02092294,0.0,0.02000384,DK02,,0,15438,DB02_to_DK02,backward,10,468.7056356926453,1774.4571289739831,True
105.54297534,21.020766,0.0,0.04002793,N,,1,12871,DB02_to_DK02,backward,10,455.4485773540034,1757.0061971863743,True
105.54345485,21.0203127,0.0,0.0402562,N,,2,12725,DB02_to_DK02,backward,10,505.2245701813595,1706.6015369387676,True
105.54345321,21.01986094,0.0,0.04069384,N,,3,12578,DB02_to_DK02,backward,10,505.05432841659115,1656.368116877745,True
105.54393435,21.01985941,0.0,0.04088478,N,,4,12579,DB02_to_DK02,backward,10,554.9995249483559,1656.197988639729,True
105.54393271,21.01940764,0.0,0.04154792,N,,5,12432,DB02_to_DK02,backward,10,554.8292831850626,1605.9634566297427,True
105.54393108,21.01895588,0.0,0.04259444,N,,6,12285,DB02_to_DK02,backward,10,554.660079479179,1555.7300365687204,True
105.54441057,21.01850258,0.0,0.0439821,N,,7,12139,DB02_to_DK02,backward,10,604.4339961872906,1505.3253763207185,True
105.54440893,21.01805082,0.0,0.04569777,N,,8,11992,DB02_to_DK02,backward,10,604.2637544239976,1455.0919562596957,True
105.54457769,21.01769787,0.0,0.02713924,FLZ03,,9,15445,DB02_to_DK02,backward,10,621.7820471585683,1415.845706900509,True
105.54488843,21.01759752,0.0,0.04731178,N,,10,11846,DB02_to_DK02,backward,10,654.0387091909939,1404.687296011694,True
105.54488679,21.01714576,0.0,0.04939822,N,,11,11699,DB02_to_DK02,backward,10,653.8684674277007,1354.4538759506713,True
105.54536628,21.01669246,0.0,0.05105707,N,,12,11553,DB02_to_DK02,backward,10,703.6423841343372,1304.0492157030642,True
105.54536463,21.0162407,0.0,0.05313015,N,,13,11406,DB02_to_DK02,backward,10,703.4711043106843,1253.8157956420418,True
105.54536299,21.01578894,0.0,0.05531465,N,,14,11259,DB02_to_DK02,backward,10,703.3008625473911,1203.5823755810193,True
105.54536135,21.01533717,0.0,0.05751465,N,,15,11112,DB02_to_DK02,backward,10,703.1306207826228,1153.3478435706384,True
105.54487858,21.01488696,0.0,0.0620991,N,,16,10964,DB02_to_DK02,backward,10,653.0162205479248,1103.2867756459539,True
105.54487694,21.01443519,0.0,0.06402157,N,,17,10817,DB02_to_DK02,backward,10,652.8459787831565,1053.052243635968,True
105.5448753,21.01398343,0.0,0.0656328,N,,18,10670,DB02_to_DK02,backward,10,652.6757370198634,1002.8188235749453,True
105.54439254,21.01353321,0.0,0.07062299,N,,19,10522,DB02_to_DK02,backward,10,602.5623748440502,952.7566437009024,True
105.5443909,21.01308145,0.0,0.07110819,N,,20,10375,DB02_to_DK02,backward,10,602.3921330792818,902.5232236402749,True
105.54438926,21.01262969,0.0,0.07168333,N,,21,10228,DB02_to_DK02,backward,10,602.2218913159886,852.2898035792524,True
105.54390814,21.01263123,0.0,0.07504929,N,,22,10227,DB02_to_DK02,backward,10,552.2787709034685,852.4610437662319,True
105.54390651,21.01217947,0.0,0.07476989,N,,23,10080,DB02_to_DK02,backward,10,552.10956719906,802.2276237052095,True
105.54342375,21.01172924,0.0,0.0770652,N,,24,9932,DB02_to_DK02,backward,10,501.99620502324666,752.164331882203,True
105.54342212,21.01127748,0.0,0.07630473,N,,25,9785,DB02_to_DK02,backward,10,501.82700131883814,701.9309118211805,True
105.54342048,21.01082572,0.0,0.07420194,N,,26,9638,DB02_to_DK02,backward,10,501.6567595540699,651.697491760158,True
105.54390159,21.01082418,0.0,0.0739268,N,,27,9639,DB02_to_DK02,backward,10,551.5988419077054,651.5262515731785,True
105.54389996,21.01037242,0.0,0.07070977,N,,28,9492,DB02_to_DK02,backward,10,551.4296382032969,601.292831512156,True
105.54438107,21.01037088,0.0,0.0710864,N,,29,9493,DB02_to_DK02,backward,10,601.3717205554574,601.1215913251765,True
105.54437943,21.00991912,0.0,0.0681396,N,,30,9346,DB02_to_DK02,backward,10,601.2014787921642,550.8881712641539,True
