x,y,z,slowness,label,label_prefix,order,node_index,pair_name,direction,route_rank,x_m,y_m,flyable
105.53939267,20.98356076,0.0,0.0,DB02,,0,15436,DB02_to_DK02,forward,3,83.54610144976081,-2380.027735406683,True
105.53947419,20.98373222,0.0,0.02002159,N,,1,810,DB02_to_DK02,forward,3,92.0083627909054,-2360.9622532841313,True
105.53947582,20.98418398,0.0,0.02024133,N,,2,957,DB02_to_DK02,forward,3,92.1775664953139,-2310.7288332231087,True
105.53995684,20.98418246,0.0,0.02040784,N,,3,958,DB02_to_DK02,forward,3,142.11030631161185,-2310.8978495117667,True
105.53995847,20.98463422,0.0,0.02087485,N,,4,1105,DB02_to_DK02,forward,3,142.27951001602034,-2260.664429450744,True
105.53996009,20.98508598,0.0,0.021586,N,,5,1252,DB02_to_DK02,forward,3,142.44767566006905,-2210.4310093897216,True
105.53996171,20.98553775,0.0,0.02253604,N,,6,1399,DB02_to_DK02,forward,3,142.61584130559288,-2160.196477379736,True
105.54044274,20.98553622,0.0,0.02294165,N,,7,1400,DB02_to_DK02,forward,3,192.54961918225067,-2160.366605617357,True
105.54044437,20.98598799,0.0,0.02411862,N,,8,1547,DB02_to_DK02,forward,3,192.71882288665918,-2110.1320736069756,True
105.54044599,20.98643975,0.0,0.02551778,N,,9,1694,DB02_to_DK02,forward,3,192.88698853070784,-2059.898653546348,True
105.54044762,20.98689151,0.0,0.02712899,N,,10,1841,DB02_to_DK02,forward,3,193.05619223511636,-2009.665233485326,True
105.54092865,20.98688998,0.0,0.02774641,N,,11,1842,DB02_to_DK02,forward,3,242.98997011177408,-2009.835361722947,True
105.54093028,20.98734175,0.0,0.02954608,N,,12,1989,DB02_to_DK02,forward,3,243.15917381618257,-1959.6008297129608,True
105.54093191,20.98779351,0.0,0.03153204,N,,13,2136,DB02_to_DK02,forward,3,243.32837752059106,-1909.3674096519385,True
105.54141294,20.98779198,0.0,0.03233961,N,,14,2137,DB02_to_DK02,forward,3,293.2621553972488,-1909.5375378895594,True
105.54141457,20.98824374,0.0,0.03447831,N,,15,2284,DB02_to_DK02,forward,3,293.43135910165734,-1859.304117828537,True
105.5414162,20.98869551,0.0,0.03677321,N,,16,2431,DB02_to_DK02,forward,3,293.6005628060658,-1809.0695858185513,True
105.54141783,20.98914727,0.0,0.03920871,N,,17,2578,DB02_to_DK02,forward,3,293.76976651047437,-1758.8361657575288,True
105.5419005,20.9895975,0.0,0.04267644,N,,18,2726,DB02_to_DK02,forward,3,343.87378615042525,-1708.7728739345223,True
105.54190213,20.99004927,0.0,0.04531361,N,,19,2873,DB02_to_DK02,forward,3,344.0429898548337,-1658.5383419241414,True
105.54190376,20.99050103,0.0,0.04804091,N,,20,3020,DB02_to_DK02,forward,3,344.2121935592422,-1608.3049218631188,True
105.54238481,20.9904995,0.0,0.04905343,N,,21,3021,DB02_to_DK02,forward,3,394.1480475551444,-1608.475050101135,True
105.54238644,20.99095126,0.0,0.05181483,N,,22,3168,DB02_to_DK02,forward,3,394.3172512595529,-1558.2416300401126,True
105.54238807,20.99140302,0.0,0.05463237,N,,23,3315,DB02_to_DK02,forward,3,394.48645496396136,-1508.00820997909,True
105.5423897,20.99185478,0.0,0.05203834,N,,24,3462,DB02_to_DK02,forward,3,394.6556586683699,-1457.7747899180674,True
105.54287075,20.99185325,0.0,0.05223341,N,,25,3463,DB02_to_DK02,forward,3,444.59151266427216,-1457.9449181560835,True
105.54287238,20.99230501,0.0,0.04927963,N,,26,3610,DB02_to_DK02,forward,3,444.7607163686806,-1407.711498095061,True
105.54287402,20.99275678,0.0,0.04638132,N,,27,3757,DB02_to_DK02,forward,3,444.93095813197374,-1357.47696608468,True
105.54287565,20.99320854,0.0,0.04355564,N,,28,3904,DB02_to_DK02,forward,3,445.1001618363822,-1307.2435460236575,True
105.54335671,20.993207,0.0,0.04396545,N,,29,3905,DB02_to_DK02,forward,3,495.0370538911691,-1307.414786210637,True
105.54335834,20.99365877,0.0,0.04124411,N,,30,4052,DB02_to_DK02,forward,3,495.2062575955776,-1257.180254200651,True
105.54335997,20.99411053,0.0,0.03862911,N,,31,4199,DB02_to_DK02,forward,3,495.37546129998606,-1206.9468341396287,True
105.54384267,20.99456076,0.0,0.036795,N,,32,4347,DB02_to_DK02,forward,3,545.4825951195412,-1156.8835423166222,True
105.5438443,20.99501252,0.0,0.03446104,N,,33,4494,DB02_to_DK02,forward,3,545.6517988239498,-1106.6501222555999,True
105.54384594,20.99546428,0.0,0.03228119,N,,34,4641,DB02_to_DK02,forward,3,545.8220405872429,-1056.416702194577,True
105.544327,20.99546274,0.0,0.03318656,N,,35,4642,DB02_to_DK02,forward,3,595.7589326420297,-1056.5879423815568,True
105.54432864,20.99591451,0.0,0.03119648,N,,36,4789,DB02_to_DK02,forward,3,595.929174406798,-1006.3534103715708,True
105.54433028,20.99636627,0.0,0.02938763,N,,37,4936,DB02_to_DK02,forward,3,596.0994161700911,-956.1199903105482,True
105.54481134,20.99636473,0.0,0.03054676,N,,38,4937,DB02_to_DK02,forward,3,646.036308224878,-956.2912304975279,True
105.54481298,20.99681649,0.0,0.02895258,N,,39,5084,DB02_to_DK02,forward,3,646.2065499896463,-906.0578104365053,True
105.54481462,20.99726825,0.0,0.02756137,N,,40,5231,DB02_to_DK02,forward,3,646.3767917529394,-855.8243903754828,True
105.54529569,20.99726671,0.0,0.02897174,N,,41,5232,DB02_to_DK02,forward,3,696.314721868086,-855.9956305624623,True
105.54529733,20.99771848,0.0,0.02781155,N,,42,5379,DB02_to_DK02,forward,3,696.4849636313793,-805.7610985524764,True
105.5457784,20.99771693,0.0,0.02944478,N,,43,5380,DB02_to_DK02,forward,3,746.4228937465259,-805.9334506888143,True
105.54578004,20.9981687,0.0,0.02851961,N,,44,5527,DB02_to_DK02,forward,3,746.593135509819,-755.6989186784334,True
105.54626111,20.99816715,0.0,0.03036465,N,,45,5528,DB02_to_DK02,forward,3,796.5310656249655,-755.8712708147714,True
105.54626276,20.99861892,0.0,0.02967501,N,,46,5675,DB02_to_DK02,forward,3,796.7023454486186,-705.6367388047855,True
105.54674383,20.99861737,0.0,0.03171773,N,,47,5676,DB02_to_DK02,forward,3,846.64027556229,-705.8090909407284,True
105.54674547,20.99906913,0.0,0.03126059,N,,48,5823,DB02_to_DK02,forward,3,846.8105173270585,-655.5756708801009,True
105.54722655,20.99906759,0.0,0.03348403,N,,49,5824,DB02_to_DK02,forward,3,896.7494855010897,-655.7469110670804,True
105.54722819,20.99951935,0.0,0.03325316,N,,50,5971,DB02_to_DK02,forward,3,896.9197272643827,-605.513491006058,True
105.54770927,20.9995178,0.0,0.03563785,N,,51,5972,DB02_to_DK02,forward,3,946.8586954384142,-605.6858431423959,True
105.54771092,20.99996956,0.0,0.03562398,N,,52,6119,DB02_to_DK02,forward,3,947.0299752620671,-555.4524230813735,True
105.54819199,20.99996802,0.0,0.03814832,N,,53,6120,DB02_to_DK02,forward,3,996.9679053772137,-555.623663268353,True
105.54819364,21.00041978,0.0,0.03833926,N,,54,6267,DB02_to_DK02,forward,3,997.1391851993915,-505.3902432073304,True
105.54867472,21.00041823,0.0,0.0409802,N,,55,6268,DB02_to_DK02,forward,3,1047.0781533734228,-505.5625953436684,True
105.54867637,21.00086999,0.0,0.04136137,N,,56,6415,DB02_to_DK02,forward,3,1047.2494331970756,-455.3291752826459,True
105.54915745,21.00086844,0.0,0.04409457,N,,57,6416,DB02_to_DK02,forward,3,1097.1884013711071,-455.50152741898387,True
105.5491591,21.0013202,0.0,0.04464932,N,,58,6563,DB02_to_DK02,forward,3,1097.35968119476,-405.2681073583565,True
105.54964018,21.00131865,0.0,0.04744984,N,,59,6564,DB02_to_DK02,forward,3,1147.298649368791,-405.4404594942994,True
105.54964184,21.00177041,0.0,0.04815994,N,,60,6711,DB02_to_DK02,forward,3,1147.4709672528038,-355.20703943367187,True
105.54964349,21.00222217,0.0,0.04904065,N,,61,6858,DB02_to_DK02,forward,3,1147.6422470749817,-304.97361937264935,True
105.54964514,21.00267393,0.0,0.05008556,N,,62,7005,DB02_to_DK02,forward,3,1147.8135268986346,-254.74019931162684,True
105.5496468,21.00312569,0.0,0.05128714,N,,63,7152,DB02_to_DK02,forward,3,1147.9858447826475,-204.50677925060435,True
105.54916571,21.00312724,0.0,0.04863472,N,,64,7151,DB02_to_DK02,forward,3,1098.0458385482564,-204.33442711426636,True
105.54916737,21.00357901,0.0,0.0500364,N,,65,7298,DB02_to_DK02,forward,3,1098.218156432269,-154.09989510428045,True
105.54916902,21.00403077,0.0,0.05158172,N,,66,7445,DB02_to_DK02,forward,3,1098.3894362544468,-103.86647504325795,True
105.54917067,21.00448253,0.0,0.05325997,N,,67,7592,DB02_to_DK02,forward,3,1098.5607160780996,-53.63305498223542,True
105.54868958,21.00448408,0.0,0.0508568,N,,68,7591,DB02_to_DK02,forward,3,1048.620709845184,-53.46070284589745,True
105.54869123,21.00493584,0.0,0.05272125,N,,69,7738,DB02_to_DK02,forward,3,1048.7919896688368,-3.227282784874943,True
105.54869288,21.0053876,0.0,0.05469888,N,,70,7885,DB02_to_DK02,forward,3,1048.9632694924896,47.00613727575252,True
105.54869454,21.00583936,0.0,0.05677667,N,,71,8032,DB02_to_DK02,forward,3,1049.1355873750274,97.23955733677502,True
105.54869619,21.00629113,0.0,0.0589412,N,,72,8179,DB02_to_DK02,forward,3,1049.3068671986805,147.474089347156,True
105.54869784,21.00674289,0.0,0.06117881,N,,73,8326,DB02_to_DK02,forward,3,1049.4781470223334,197.7075094081785,True
105.54869949,21.00719465,0.0,0.06347591,N,,74,8473,DB02_to_DK02,forward,3,1049.6494268459862,247.94092946880596,True
105.54870114,21.00764641,0.0,0.06581892,N,,75,8620,DB02_to_DK02,forward,3,1049.820706669639,298.1743495298285,True
105.54870279,21.00809817,0.0,0.06819449,N,,76,8767,DB02_to_DK02,forward,3,1049.991986491817,348.407769590851,True
105.54870445,21.00854993,0.0,0.07058961,N,,77,8914,DB02_to_DK02,forward,3,1050.16430437583,398.6411896518735,True
105.5487061,21.00900169,0.0,0.07299164,N,,78,9061,DB02_to_DK02,forward,3,1050.3355841994828,448.8746097128961,True
105.54822499,21.00900324,0.0,0.07142054,N,,79,9060,DB02_to_DK02,forward,3,1000.393501845847,449.046961848839,True
105.54822664,21.009455,0.0,0.07389758,N,,80,9207,DB02_to_DK02,forward,3,1000.5647816695,499.28038190986143,True
105.54822829,21.00990677,0.0,0.07635761,N,,81,9354,DB02_to_DK02,forward,3,1000.7360614931531,549.5149139202424,True
105.54822994,21.01035853,0.0,0.07878947,N,,82,9501,DB02_to_DK02,forward,3,1000.9073413168061,599.7483339812649,True
105.54823159,21.01081029,0.0,0.07825001,N,,83,9648,DB02_to_DK02,forward,3,1001.078621140459,649.9817540418924,True
105.54823324,21.01126205,0.0,0.076685,N,,84,9795,DB02_to_DK02,forward,3,1001.249900964112,700.215174102915,True
105.54775213,21.0112636,0.0,0.07590417,N,,85,9794,DB02_to_DK02,forward,3,951.3078186119515,700.3875262392529,True
105.54775378,21.01171536,0.0,0.07436547,N,,86,9941,DB02_to_DK02,forward,3,951.4790984341292,750.6209463002754,True
105.54775543,21.01216712,0.0,0.07289101,N,,87,10088,DB02_to_DK02,forward,3,951.6503782577823,800.8543663612978,True
105.54775708,21.01261888,0.0,0.07149036,N,,88,10235,DB02_to_DK02,forward,3,951.8216580814352,851.0877864223205,True
105.54727596,21.01262043,0.0,0.07073993,N,,89,10234,DB02_to_DK02,forward,3,901.878537668915,851.2601385582633,True
105.54727761,21.01307219,0.0,0.06940259,N,,90,10381,DB02_to_DK02,forward,3,902.0498174925681,901.4935586192859,True
105.54727926,21.01352395,0.0,0.06793438,N,,91,10528,DB02_to_DK02,forward,3,902.221097316221,951.7269786803083,True
105.54679814,21.0135255,0.0,0.06686473,N,,92,10527,DB02_to_DK02,forward,3,852.2779769051758,951.8993308166463,True
105.54679979,21.01397726,0.0,0.06472232,N,,93,10674,DB02_to_DK02,forward,3,852.4492567273536,1002.1327508776689,True
105.54680143,21.01442902,0.0,0.0626352,N,,94,10821,DB02_to_DK02,forward,3,852.619498492122,1052.3661709386913,True
105.54632031,21.01443057,0.0,0.06169551,N,,95,10820,DB02_to_DK02,forward,3,802.6763780796018,1052.5385230746344,True
105.54632195,21.01488233,0.0,0.0596435,N,,96,10967,DB02_to_DK02,forward,3,802.84661984437,1102.7719431356568,True
105.5463236,21.01533409,0.0,0.05765892,N,,97,11114,DB02_to_DK02,forward,3,803.0178996665478,1153.0053631966791,True
105.54584247,21.01533563,0.0,0.05708948,N,,98,11113,DB02_to_DK02,forward,3,753.0737411951432,1153.1766033836589,True
105.54584412,21.01578739,0.0,0.05509282,N,,99,11260,DB02_to_DK02,forward,3,753.245021018796,1203.4100234446812,True
105.54584576,21.01623915,0.0,0.05317914,N,,100,11407,DB02_to_DK02,forward,3,753.4152627835643,1253.643443505704,True
105.54536463,21.0162407,0.0,0.05313015,N,,101,11406,DB02_to_DK02,forward,3,703.4711043106843,1253.8157956420418,True
105.54536628,21.01669246,0.0,0.05105707,N,,102,11553,DB02_to_DK02,forward,3,703.6423841343372,1304.0492157030642,True
105.54536792,21.01714422,0.0,0.04917721,N,,103,11700,DB02_to_DK02,forward,3,703.8126258991056,1354.2826357636918,True
105.54488679,21.01714576,0.0,0.04939822,N,,104,11699,DB02_to_DK02,forward,3,653.8684674277007,1354.4538759506713,True
105.54488843,21.01759752,0.0,0.04731178,N,,105,11846,DB02_to_DK02,forward,3,654.0387091909939,1404.687296011694,True
105.54457769,21.01769787,0.0,0.02713924,FLZ03,,106,15445,DB02_to_DK02,forward,3,621.7820471585683,1415.845706900509,True
105.54489007,21.01804928,0.0,0.04562342,N,,107,11993,DB02_to_DK02,forward,3,654.208950954287,1454.9207160727162,True
105.54440893,21.01805082,0.0,0.04569777,N,,108,11992,DB02_to_DK02,forward,3,604.2637544239976,1455.0919562596957,True
105.54441057,21.01850258,0.0,0.0439821,N,,109,12139,DB02_to_DK02,forward,3,604.4339961872906,1505.3253763207185,True
105.54441221,21.01895434,0.0,0.04276039,N,,110,12286,DB02_to_DK02,forward,3,604.6042379520591,1555.5587963817409,True
105.54393108,21.01895588,0.0,0.04259444,N,,111,12285,DB02_to_DK02,forward,3,554.660079479179,1555.7300365687204,True
105.54393271,21.01940764,0.0,0.04154792,N,,112,12432,DB02_to_DK02,forward,3,554.8292831850626,1605.9634566297427,True
105.54393435,21.01985941,0.0,0.04088478,N,,113,12579,DB02_to_DK02,forward,3,554.9995249483559,1656.197988639729,True
105.54345321,21.01986094,0.0,0.04069384,N,,114,12578,DB02_to_DK02,forward,3,505.05432841659115,1656.368116877745,True
105.54345485,21.0203127,0.0,0.0402562,N,,115,12725,DB02_to_DK02,forward,3,505.2245701813595,1706.6015369387676,True
105.54310305,21.02092294,0.0,0.02000384,DK02,,116,15438,DB02_to_DK02,forward,3,468.7056356926453,1774.4571289739831,True
