order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,forward,7,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
1,DB02_to_DK02,forward,7,105.54190690160387,20.984673244905547,344.5383107442186,-2256.325057941275,0.0
2,DB02_to_DK02,forward,7,105.54492544775992,20.986241134020382,657.8813730614238,-2081.9837428303517,0.0
3,DB02_to_DK02,forward,7,105.54880134837694,20.98937618350194,1060.2229328001808,-1733.3821457013053,0.0
4,DB02_to_DK02,forward,7,105.54983509684295,20.990309324701922,1167.5321781312107,-1629.621578420434,0.0
5,DB02_to_DK02,forward,7,105.54988862648274,20.99032537147726,1173.0888734368257,-1627.8372584137535,0.0
6,DB02_to_DK02,forward,7,105.55203970443003,20.993901971036603,1396.3835710956748,-1230.137532775505,0.0
7,DB02_to_DK02,forward,7,105.55167858106653,20.996113205621683,1358.8968159669334,-984.2594652939482,0.0
8,DB02_to_DK02,forward,7,105.55257313037184,20.998415309282617,1451.756359677711,-728.2772175878769,0.0
9,DB02_to_DK02,forward,7,105.55391430934846,21.001717026576017,1590.9787223392275,-361.1430053473015,0.0
10,DB02_to_DK02,forward,7,105.55286201248164,21.00422291232828,1481.744042573532,-82.50122294476176,0.0
11,DB02_to_DK02,forward,7,105.55162059083186,21.007696866743917,1352.8770843569514,303.78488346829914,0.0
12,DB02_to_DK02,forward,7,105.55117028371112,21.011432141751488,1306.132524259499,719.1285139326174,0.0
13,DB02_to_DK02,forward,7,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
