location_id,requested_lon,requested_lat,model_lon,model_lat,model_elevation_m,time_local,time_utc,timezone,utc_offset_seconds,generationtime_ms,request_time_utc,download_time_utc,time_mode,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,precipitation,rain,showers,precipitation_probability,weather_code,cape,boundary_layer_height,risk_wind_120m,risk_gust_10m,risk_precipitation,risk_cape,risk_visibility,weather_risk_0_1,weather_no_fly
0,105.5235,20.9915,105.51724,20.984182,21.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,11.941790580749512,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.1,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
1,105.5335,20.9915,105.51724,20.984182,21.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.24700164794921875,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.1,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
2,105.5435,20.9915,105.51724,20.984182,14.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.2878904342651367,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.9,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
3,105.5535,20.9915,105.51724,20.984182,10.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.2162456512451172,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1005.4,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
4,105.5635,20.9915,105.60852,20.984182,10.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.18727779388427734,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,91,26.5,35.5,1006.4,1005.3,100,100,48,100,5620.0,0.5,0.54,0.57,0.61,143,153,153,194,6.0,0.0,0.0,0.0,59,95,3190.0,335.0,0.0,0.0,0.0,1.0,0.4866666666666667,1.0,1
5,105.5135,21.0015,105.51724,20.984182,31.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.26416778564453125,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1003.0,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
6,105.5235,21.0015,105.51724,20.984182,20.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.2906322479248047,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.2,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
7,105.5335,21.0015,105.51724,20.984182,13.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.31065940856933594,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1005.0,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
8,105.5435,21.0015,105.51724,20.984182,17.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.30052661895751953,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.6,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
9,105.5535,21.0015,105.51724,20.984182,9.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.24068355560302734,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1005.5,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
