dataset,source_file,plot_file,plot_type,n_records_plotted,n_inside_aoi,n_outside_aoi,value_min,value_max,reader,surface_spacing,surface_tension,n_osm_outside_aoi,study_area_m2,study_area_km2,study_area_ha
globalbuildingatlas_lod1,building_polygon_gdf,figures/01_HoaLac_studies_area_input/globalbuildingatlas_lod1/00_gba_lod1_overview_map.png,dataset_overview_map_mark_outside_aoi,10000,10000.0,0.0,,,,,,,,,
globalbuildingatlas_lod1,building_polygon_gdf,figures/01_HoaLac_studies_area_input/globalbuildingatlas_lod1/01_gba_lod1_2d_height_overview.png,building_height_map_mark_outside_aoi,14894,14894.0,0.0,,,,,,,,,
globalbuildingatlas_lod1,building_polygon_gdf,figures/01_HoaLac_studies_area_input/globalbuildingatlas_lod1/02_gba_lod1_2d_footprint_area.png,building_area_map_mark_outside_aoi,14894,14894.0,0.0,,,,,,,,,
globalbuildingatlas_lod1,building_polygon_gdf,figures/01_HoaLac_studies_area_input/globalbuildingatlas_lod1/04_gba_lod1_height_histogram.png,height_histogram_inside_aoi_stats,14894,14894.0,0.0,,,,,,,,,
globalbuildingatlas_lod1,GBA building polygons,figures/01_HoaLac_studies_area_input/globalbuildingatlas_lod1/05_gba_lod1_3d_height_overview.png,gba_3d_pygmt,3000,,,,,,,,,,,
openbuildingmap,building_polygon_gdf,figures/01_HoaLac_studies_area_input/openbuildingmap/00_obm_overview_map.png,dataset_overview_map_mark_outside_aoi,10000,10000.0,0.0,,,,,,,,,
openbuildingmap,building_polygon_gdf,figures/01_HoaLac_studies_area_input/openbuildingmap/01_obm_2d_height_overview.png,building_height_map_mark_outside_aoi,22599,22599.0,0.0,,,,,,,,,
openbuildingmap,building_polygon_gdf,figures/01_HoaLac_studies_area_input/openbuildingmap/02_obm_2d_footprint_area.png,building_area_map_mark_outside_aoi,22599,22599.0,0.0,,,,,,,,,
openbuildingmap,building_polygon_gdf,figures/01_HoaLac_studies_area_input/openbuildingmap/04_obm_height_histogram.png,height_histogram_inside_aoi_stats,22599,22599.0,0.0,,,,,,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_utm.tif,figures/01_HoaLac_studies_area_input/opentopography/00_opentopography_overview_map.png,dataset_overview_map_surface,43411,,,,,,,,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_utm.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/opentopography_SRTMGL1_dem_utm.png,raster_surface_quicklook_mark_outside_aoi,43411,32453.0,10958.0,2.0,95.0,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/opentopography_SRTMGL1_dem_wgs84.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/opentopography_SRTMGL1_dem_wgs84.png,raster_surface_quicklook_mark_outside_aoi,42588,31749.0,10839.0,0.0,97.0,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/terrain_products/aspect_degree.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/aspect_degree.png,raster_surface_quicklook_mark_outside_aoi,43076,32446.0,10630.0,-0.0,356.633544921875,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/terrain_products/hillshade.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/hillshade.png,raster_surface_quicklook_mark_outside_aoi,43076,32446.0,10630.0,108.46941375732422,231.1488037109375,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/terrain_products/roughness_3x3_m.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/roughness_3x3_m.png,raster_surface_quicklook_mark_outside_aoi,43472,32453.0,11019.0,0.0,31.0,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/terrain_products/slope_degree.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/slope_degree.png,raster_surface_quicklook_mark_outside_aoi,43076,32446.0,10630.0,0.0,23.005756378173828,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/terrain_products/slope_percent.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/slope_percent.png,raster_surface_quicklook_mark_outside_aoi,43076,32446.0,10630.0,0.0,42.4593391418457,rasterio,0.0002,0.35,,,,
opentopography,output/01_HoaLac_studies_area/opentopography/terrain_products/tpi_3x3_m.tif,figures/01_HoaLac_studies_area_input/opentopography/quicklook_rasters/tpi_3x3_m.png,raster_surface_quicklook_mark_outside_aoi,43072,32446.0,10626.0,-4.333333492279053,4.666666507720947,rasterio,0.0002,0.35,,,,
osm,OSM vectors,figures/01_HoaLac_studies_area_input/osm/00_osm_overview_map.png,dataset_overview_map_osm_inside_only,13381,13381.0,0.0,,,,,,,,,
osm,output/01_HoaLac_studies_area/osm/extra_features/osm_extra_features.geojson,figures/01_HoaLac_studies_area_input/osm/quicklook_vectors/osm_extra_features.png,osm_extra_features_by_group,438,438.0,0.0,,,,,,,,,
osm,output/01_HoaLac_studies_area/osm/extra_features/osm_extra_features.gpkg,figures/01_HoaLac_studies_area_input/osm/quicklook_vectors/osm_extra_features.png,osm_extra_features_by_group,438,438.0,0.0,,,,,,,,,
osm,output/01_HoaLac_studies_area/osm/roads/osm_roads_edges.geojson,figures/01_HoaLac_studies_area_input/osm/quicklook_vectors/osm_roads_edges.png,vector_quicklook_mark_outside_aoi,5208,5208.0,0.0,,,,,,,,,
osm,output/01_HoaLac_studies_area/osm/roads/osm_roads_edges.gpkg,figures/01_HoaLac_studies_area_input/osm/quicklook_vectors/osm_roads_edges.png,vector_quicklook_mark_outside_aoi,5208,5208.0,0.0,,,,,,,,,
osm,output/01_HoaLac_studies_area/osm/roads/osm_roads_nodes.gpkg,figures/01_HoaLac_studies_area_input/osm/quicklook_vectors/osm_roads_nodes.png,vector_quicklook_mark_outside_aoi,2089,2089.0,0.0,,,,,,,,,
all,output/01_HoaLac_studies_area,figures/01_HoaLac_studies_area_input/01_input_data_overview_map.png,combined_overview_without_topography,30476,30476.0,0.0,,,,,,0.0,28178315.50136701,28.17831550136701,2817.831550136701
