layer_name,relative_file,file,suffix,size_bytes,size_human,feature_count,raster_shape,raster_crs,columns,height_agl_columns,min_value,max_value,mean_value,note,voxel_role
metadata_aoi,metadata/study_area_aoi.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/study_area_aoi.gpkg,.gpkg,98304,96.0 KB,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
metadata_aoi,metadata/study_area_aoi.geojson,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/study_area_aoi.geojson,.geojson,500,500.0 B,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
metadata_aoi,metadata/hoalac_polygon.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/hoalac_polygon.gpkg,.gpkg,98304,96.0 KB,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
metadata_aoi,metadata/opencellid__hoalac_polygon.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/opencellid__hoalac_polygon.gpkg,.gpkg,98304,96.0 KB,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
metadata_aoi,metadata/openinframap__hoalac_polygon.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/openinframap__hoalac_polygon.gpkg,.gpkg,98304,96.0 KB,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
metadata_aoi,metadata/opentopography__hoalac_polygon.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/opentopography__hoalac_polygon.gpkg,.gpkg,98304,96.0 KB,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
metadata_aoi,metadata/osm__hoalac_polygon.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/metadata/osm__hoalac_polygon.gpkg,.gpkg,98304,96.0 KB,1,,,name;geometry,,,,,geometry=Polygon,AOI / clipping boundary
osm_powerlines_agl,osm/powerlines/powerlines_hoalac_clipped.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/osm/powerlines/powerlines_hoalac_clipped.gpkg,.gpkg,98304,96.0 KB,13,,,power;cables;circuits;frequency;voltage;wires;power_simple;feature_code;z_min_agl_m;z_max_agl_m;geometry,z_min_agl_m;z_max_agl_m,,,,geometry=LineString,hard linear obstacle; use z_min_agl_m / z_max_agl_m if present
osm_powerlines_agl,osm/powerlines/powerlines_vertices_hoalac.xyz,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/osm/powerlines/powerlines_vertices_hoalac.xyz,.xyz,2701,2.6 KB,73,,,col_0;col_1;col_2,,,,,tabular_rows=73,hard linear obstacle; use z_min_agl_m / z_max_agl_m if present
osm_powerlines_agl,osm/powerlines/power_lines_hoalac.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/osm/powerlines/power_lines_hoalac.gpkg,.gpkg,106496,104.0 KB,15,,,power;cables;circuits;frequency;name;voltage;source;wires;line;layer;location;layer_name;layer_code;infra_class;voltage_kv;height_m;z_min_agl_m;z_max_agl_m;height_source;uav_obstacle_role;geometry,height_m;z_min_agl_m;z_max_agl_m;height_source,,,,geometry=LineString,hard linear obstacle; use z_min_agl_m / z_max_agl_m if present
osm_powerlines_agl,osm/powerlines/power_lines_hoalac.xyz,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/osm/powerlines/power_lines_hoalac.xyz,.xyz,5143,5.0 KB,139,,,col_0;col_1;col_2,,,,,tabular_rows=139,hard linear obstacle; use z_min_agl_m / z_max_agl_m if present
osm_power_poles_towers_agl,osm/power_poles_towers/power_towers_poles_hoalac_clipped.gpkg,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/osm/power_poles_towers/power_towers_poles_hoalac_clipped.gpkg,.gpkg,98304,96.0 KB,50,,,design;line_attachment;power;structure;power_simple;feature_code;height_m;geometry,height_m,,,,geometry=Point,hard point/vertical obstacle; use height_m / z_max_agl_m if present
osm_power_poles_towers_agl,osm/power_poles_towers/power_towers_poles_points_hoalac.xyz,/home/vinh-longha/Research/UTM/UTM_gridbased_path_finding/make_model_voxel/input/data_senario1/osm/power_poles_towers/power_towers_poles_points_hoalac.xyz,.xyz,2000,2.0 KB,50,,,col_0;col_1;col_2;col_3,,,,,tabular_rows=50,hard point/vertical obstacle; use height_m / z_max_agl_m if present
