xy_id,ix,iy,iz,x_from_sw_m,y_from_sw_m,z_center_msl_m,z_bottom_msl_m,z_top_msl_m,terrain_msl_m,powerline_kind_in_xy,powerline_height_reference_used,topo_burn_top_msl_m,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,powerline_plot_kind,powerline_plot_height_agl_m,gx,gy,gz,burn_display_class,_use_true_xy_cell_size,plot_burn_powerline,plot_burn_building,plot_burn_topo,plot_burn_any,z_plot_bottom_agl_m,z_plot_top_agl_m
3782,35,37,12,1775.0,1875.0,62.5,60.0,65.0,29.67816162109375,line,AGL,30.0,35.0,62.17816162109375,62.17816162109375,67.17816162109375,0.0,29.67816162109375,30.0,29.67816162109375,62.17816162109375,65.0,line-air strand/cable,35.0,35,37,12,powerline,True,True,False,False,True,32.5,35.32183837890625
3782,35,37,13,1775.0,1875.0,67.5,65.0,70.0,29.67816162109375,line,AGL,30.0,35.0,62.17816162109375,62.17816162109375,67.17816162109375,0.0,29.67816162109375,30.0,29.67816162109375,65.0,67.17816162109375,line-air strand/cable,35.0,35,37,13,powerline,True,True,False,False,True,35.32183837890625,37.5
3783,35,38,12,1775.0,1925.0,62.5,60.0,65.0,27.747333526611328,line+pole,AGL,30.0,35.0,60.24733352661133,60.24733352661133,65.24733352661133,35.0,27.747333526611328,30.0,62.74733352661133,60.24733352661133,65.0,line-air strand/cable,35.0,35,38,12,powerline,True,True,False,False,True,32.5,37.25266647338867
3783,35,38,13,1775.0,1925.0,67.5,65.0,70.0,27.747333526611328,line+pole,AGL,30.0,35.0,60.24733352661133,60.24733352661133,65.24733352661133,35.0,27.747333526611328,30.0,62.74733352661133,65.0,65.24733352661133,line-air strand/cable,35.0,35,38,13,powerline,True,True,False,False,True,37.25266647338867,37.5
3889,36,37,12,1825.0,1875.0,62.5,60.0,65.0,27.78429412841797,line,AGL,30.0,35.0,60.28429412841797,60.28429412841797,65.28429412841797,0.0,27.78429412841797,30.0,27.78429412841797,60.28429412841797,65.0,line-air strand/cable,35.0,36,37,12,powerline,True,True,False,False,True,32.5,37.21570587158203
3889,36,37,13,1825.0,1875.0,67.5,65.0,70.0,27.78429412841797,line,AGL,30.0,35.0,60.28429412841797,60.28429412841797,65.28429412841797,0.0,27.78429412841797,30.0,27.78429412841797,65.0,65.28429412841797,line-air strand/cable,35.0,36,37,13,powerline,True,True,False,False,True,37.21570587158203,37.5
3890,36,38,11,1825.0,1925.0,57.5,55.0,60.0,25.010801315307617,line,AGL,30.0,35.0,57.51080131530762,57.51080131530762,62.51080131530762,0.0,25.010801315307617,30.0,25.010801315307617,57.51080131530762,60.0,line-air strand/cable,35.0,36,38,11,powerline,True,True,False,False,True,32.5,34.98919868469238
3890,36,38,12,1825.0,1925.0,62.5,60.0,65.0,25.010801315307617,line,AGL,30.0,35.0,57.51080131530762,57.51080131530762,62.51080131530762,0.0,25.010801315307617,30.0,25.010801315307617,60.0,62.51080131530762,line-air strand/cable,35.0,36,38,12,powerline,True,True,False,False,True,34.98919868469238,37.5
3995,37,36,11,1875.0,1825.0,57.5,55.0,60.0,25.94011116027832,line,AGL,30.0,35.0,58.44011116027832,58.44011116027832,63.44011116027832,0.0,25.94011116027832,30.0,25.94011116027832,58.44011116027832,60.0,line-air strand/cable,35.0,37,36,11,powerline,True,True,False,False,True,32.5,34.05988883972168
3995,37,36,12,1875.0,1825.0,62.5,60.0,65.0,25.94011116027832,line,AGL,30.0,35.0,58.44011116027832,58.44011116027832,63.44011116027832,0.0,25.94011116027832,30.0,25.94011116027832,60.0,63.44011116027832,line-air strand/cable,35.0,37,36,12,powerline,True,True,False,False,True,34.05988883972168,37.5
