xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,powerline_z_top_msl_m,powerline_z_top_agl_m,powerline_z_bottom_msl_m,powerline_voxel_count,powerline_plot_kind,powerline_kind_in_xy,powerline_plot_height_agl_m,powerline_line_height_agl_m,powerline_pole_height_agl_m,powerline_line_top_msl_m,powerline_pole_top_msl_m,building_z_top_msl_m,building_z_top_agl_m,building_z_bottom_msl_m,building_voxel_count,building_height_agl_m,powerline_minus_building_top_msl_m,powerline_minus_building_top_agl_m
8043,3775.0,925.0,21.62582015991211,59.12582015991211,37.5,54.12582015991211,2,line-air strand/cable,line,35.0,35.0,0.0,59.12582015991211,21.62582015991211,29.95931339263916,8.33349323272705,21.62582015991211,2,8.33349323272705,29.16650676727295,29.16650676727295
4315,2025.0,1775.0,22.623449325561523,60.12344932556152,37.5,55.12344932556152,2,line-air strand/cable,line,35.0,35.0,0.0,60.12344932556152,22.623449325561523,30.842644691467285,8.219195365905762,22.623449325561523,3,8.219195365905762,29.28080463409424,29.28080463409424
8148,3825.0,825.0,18.98409652709961,56.48409652709961,37.5,51.48409652709961,2,line-air strand/cable,line,35.0,35.0,0.0,56.48409652709961,18.98409652709961,26.40297031402588,7.4188737869262695,18.98409652709961,3,7.4188737869262695,30.08112621307373,30.08112621307373
7936,3725.0,925.0,22.249073028564453,59.74907302856445,37.5,54.74907302856445,2,line-air strand/cable,line,35.0,35.0,0.0,59.74907302856445,22.249073028564453,29.513837337493896,7.264764308929443,22.249073028564453,2,7.264764308929443,30.235235691070557,30.235235691070557
8248,3875.0,475.0,16.600566864013672,54.10056686401367,37.5,49.10056686401367,2,line-air strand/cable,line,35.0,35.0,0.0,54.10056686401367,16.600566864013672,23.752930641174316,7.1523637771606445,16.600566864013672,2,7.1523637771606445,30.347636222839355,30.347636222839355
8041,3775.0,825.0,23.134841918945312,60.63484191894531,37.5,55.63484191894531,2,line-air strand/cable,line,35.0,35.0,0.0,60.63484191894531,23.134841918945312,30.119417190551758,6.984575271606445,23.134841918945312,3,6.984575271606445,30.515424728393555,30.515424728393555
8141,3825.0,475.0,18.676408767700195,56.176408767700195,37.5,51.176408767700195,2,line-air strand/cable,line,35.0,35.0,0.0,56.176408767700195,18.676408767700195,25.56840229034424,6.891993522644043,18.676408767700195,3,6.891993522644043,30.608006477355957,30.608006477355957
8142,3825.0,525.0,19.240800857543945,56.740800857543945,37.5,51.740800857543945,2,line-air strand/cable,line,35.0,35.0,0.0,56.740800857543945,19.240800857543945,26.13279438018799,6.891993522644043,19.240800857543945,3,6.891993522644043,30.608006477355957,30.608006477355957
8249,3875.0,525.0,15.865432739257812,53.36543273925781,37.5,48.36543273925781,2,line-air strand/cable,line,35.0,35.0,0.0,53.36543273925781,15.865432739257812,22.757426261901855,6.891993522644043,15.865432739257812,2,6.891993522644043,30.608006477355957,30.608006477355957
8146,3825.0,725.0,15.407282829284668,52.90728282928467,37.5,47.90728282928467,2,line-air strand/cable,line,35.0,35.0,0.0,52.90728282928467,15.407282829284668,22.18355369567871,6.776270866394043,15.407282829284668,2,6.776270866394043,30.723729133605957,30.723729133605957
8147,3825.0,775.0,18.120437622070312,55.62043762207031,37.5,50.62043762207031,2,line-air strand/cable,line,35.0,35.0,0.0,55.62043762207031,18.120437622070312,24.896708488464355,6.776270866394043,18.120437622070312,2,6.776270866394043,30.723729133605957,30.723729133605957
7937,3725.0,975.0,20.537370681762695,58.037370681762695,37.5,53.037370681762695,2,line-air strand/cable,line,35.0,35.0,0.0,58.037370681762695,20.537370681762695,27.291756629943848,6.754385948181152,20.537370681762695,2,6.754385948181152,30.745614051818848,30.745614051818848
11373,5325.0,1575.0,16.031654357910156,53.531654357910156,37.5,48.531654357910156,2,line-air strand/cable,line,35.0,35.0,0.0,53.531654357910156,16.031654357910156,22.5779070854187,6.546252727508545,16.031654357910156,2,6.546252727508545,30.953747272491455,30.953747272491455
11374,5325.0,1625.0,13.272283554077148,50.77228355407715,37.5,15.0,9,pole/tower column,line+pole,35.0,35.0,35.0,50.77228355407715,48.27228355407715,19.818536281585693,6.546252727508545,13.272283554077148,2,6.546252727508545,30.953747272491455,30.953747272491455
8040,3775.0,775.0,19.433164596557617,56.93316459655762,37.5,51.93316459655762,2,line-air strand/cable,line,35.0,35.0,0.0,56.93316459655762,19.433164596557617,25.92348003387451,6.4903154373168945,19.433164596557617,3,6.4903154373168945,31.009684562683105,31.009684562683105
11426,5325.0,4225.0,10.386115074157715,47.886115074157715,37.5,42.886115074157715,2,line-air strand/cable,line,35.0,35.0,0.0,47.886115074157715,10.386115074157715,16.722562789916992,6.336447715759277,10.386115074157715,2,6.336447715759277,31.163552284240723,31.163552284240723
11485,5375.0,1825.0,14.56555461883545,52.06555461883545,37.5,47.06555461883545,2,line-air strand/cable,line,35.0,35.0,0.0,52.06555461883545,14.56555461883545,20.831714630126953,6.266160011291504,14.56555461883545,3,6.266160011291504,31.233839988708496,31.233839988708496
10162,4725.0,5225.0,13.999634742736816,51.499634742736816,37.5,46.499634742736816,2,line-air strand/cable,line,35.0,35.0,0.0,51.499634742736816,13.999634742736816,20.178420066833496,6.17878532409668,13.999634742736816,3,6.17878532409668,31.32121467590332,31.32121467590332
