xy_id,x_from_sw_m,y_from_sw_m,lon,lat,terrain_msl_m,building_height_input_m,building_height_reference_used,building_height_agl_m,building_base_msl_m,building_top_msl_m,z_bottom_msl_m,z_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,building_count_in_xy,building_volume_m3,_fig02_true_xy_builder
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,40.0,45.0,40.0,45.0,2,103005.25375539291,powerline_style_burn_mask
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,45.0,50.0,45.0,50.0,2,103005.25375539291,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,55.0,60.0,55.0,57.598758697509766,8,131925.9019418815,powerline_style_burn_mask
6268,2925.0,3125.0,105.53091805506455,21.008906542558723,19.78868865966797,40.2683219909668,AGL,40.2683219909668,19.78868865966797,60.057010650634766,25.0,30.0,25.0,30.0,3,142852.39248784835,powerline_style_burn_mask
6268,2925.0,3125.0,105.53091805506455,21.008906542558723,19.78868865966797,40.2683219909668,AGL,40.2683219909668,19.78868865966797,60.057010650634766,30.0,35.0,30.0,35.0,3,142852.39248784835,powerline_style_burn_mask
6268,2925.0,3125.0,105.53091805506455,21.008906542558723,19.78868865966797,40.2683219909668,AGL,40.2683219909668,19.78868865966797,60.057010650634766,35.0,40.0,35.0,40.0,3,142852.39248784835,powerline_style_burn_mask
6269,2925.0,3175.0,105.53091965340506,21.00935830501215,19.549802780151367,40.2683219909668,AGL,40.2683219909668,19.549802780151367,59.818124771118164,15.0,20.0,19.549802780151367,20.0,2,103005.25375539291,powerline_style_burn_mask
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,30.0,35.0,30.0,35.0,2,103005.25375539291,powerline_style_burn_mask
6268,2925.0,3125.0,105.53091805506455,21.008906542558723,19.78868865966797,40.2683219909668,AGL,40.2683219909668,19.78868865966797,60.057010650634766,15.0,20.0,19.78868865966797,20.0,3,142852.39248784835,powerline_style_burn_mask
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,20.0,25.0,20.0,25.0,2,103005.25375539291,powerline_style_burn_mask
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,35.0,40.0,35.0,40.0,2,103005.25375539291,powerline_style_burn_mask
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,15.0,20.0,18.430116653442383,20.0,2,103005.25375539291,powerline_style_burn_mask
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,25.0,30.0,25.0,30.0,2,103005.25375539291,powerline_style_burn_mask
6269,2925.0,3175.0,105.53091965340506,21.00935830501215,19.549802780151367,40.2683219909668,AGL,40.2683219909668,19.549802780151367,59.818124771118164,45.0,50.0,45.0,50.0,2,103005.25375539291,powerline_style_burn_mask
6269,2925.0,3175.0,105.53091965340506,21.00935830501215,19.549802780151367,40.2683219909668,AGL,40.2683219909668,19.549802780151367,59.818124771118164,50.0,55.0,50.0,55.0,2,103005.25375539291,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,15.0,20.0,17.33043670654297,20.0,8,131925.9019418815,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,30.0,35.0,30.0,35.0,8,131925.9019418815,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,35.0,40.0,35.0,40.0,8,131925.9019418815,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,20.0,25.0,20.0,25.0,8,131925.9019418815,powerline_style_burn_mask
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,40.0,45.0,40.0,45.0,8,131925.9019418815,powerline_style_burn_mask
