node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,model_index,x_original,y_original,x_m,y_m,candidate_eligible,route_hit_count,route_hit_fraction,is_objective,objective_label,objective_prefix,candidate_id,candidate_type,candidate_route_hit_count,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_reason,is_candidate
0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,0,0.0,0.0,0.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
1,50.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,1,50.0,0.0,50.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
2,100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,2,100.0,0.0,100.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
3,150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,3,150.0,0.0,150.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
4,200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,4,200.0,0.0,200.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
5,250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,5,250.0,0.0,250.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
6,300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,6,300.0,0.0,300.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
7,350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,7,350.0,0.0,350.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
8,400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,8,400.0,0.0,400.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
9,450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,9,450.0,0.0,450.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
10,500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,10,500.0,0.0,500.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
