candidate_id,candidate_type,cluster_id,model_index,x,y,x_m,y_m,z,slowness,label,label_prefix,route_hit_count,cluster_member_count,cluster_hit_sum,distance_to_kmean_center_m,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_search_candidate_count,shift_selected_score,shift_reason
TN001,major,1,8713,1350.0,4300.0,1350.0,4300.0,0.0,0.085,NONE,NONE,204,495,46707,281.74680863329974,8713,,False,0.0,320.1562118716424,320.1562118716424,0,,clearance ok
TN002,major,5,9302,500.0,4600.0,500.0,4600.0,0.0,0.085,NONE,NONE,188,407,41986,21.46912576301196,9001,9001,True,180.27756377319946,141.4213562373095,316.22776601683796,120,1.1899074787422668,shifted: clearance 141.4 m -> 316.2 m; hit 188 -> 188
TN003,major,4,7413,2000.0,3650.0,2000.0,3650.0,0.0,0.085,NONE,NONE,180,464,51900,235.18839548037607,7413,,False,0.0,320.1562118716424,320.1562118716424,0,,clearance ok
TN004,major,6,3562,1350.0,1750.0,1350.0,1750.0,0.0,0.085,NONE,NONE,141,594,29921,284.84835339145064,3562,,False,0.0,282.842712474619,282.842712474619,0,,clearance ok
TN005,major,2,4282,2000.0,2100.0,2000.0,2100.0,0.0,0.085,NONE,NONE,115,411,27840,193.0369095717074,4282,,False,0.0,360.5551275463989,360.5551275463989,0,,clearance ok
TN006,major,7,8946,2900.0,4400.0,2900.0,4400.0,0.0,0.085,NONE,NONE,111,697,33646,28.192760484349375,8946,,False,0.0,390.51248379533274,390.51248379533274,0,,clearance ok
TN007,major,9,3114,4200.0,1500.0,4200.0,1500.0,0.0,0.085,NONE,NONE,110,551,24504,1.3823409975289898,3114,,False,0.0,316.22776601683796,316.22776601683796,0,,clearance ok
TN008,major,8,6194,1650.0,3050.0,1650.0,3050.0,0.0,0.085,NONE,NONE,126,404,24148,705.1814744281362,5686,5686,True,291.547594742265,50.0,304.138126514911,119,1.152817468419245,shifted: clearance 50.0 m -> 304.1 m; hit 109 -> 126
TN009,major,0,2836,400.0,1400.0,400.0,1400.0,0.0,0.085,NONE,NONE,103,465,28732,61.39811994349493,2836,,False,0.0,350.0,350.0,0,,clearance ok
TN010,major,10,7321,2450.0,3600.0,2450.0,3600.0,0.0,0.085,NONE,NONE,82,639,24734,566.7014554283813,7321,,False,0.0,715.8910531638177,715.8910531638177,0,,clearance ok
