edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
0,2956,4805,DB01,FLZ04,DB,FLZ,1350.0,1450.0,2900.0,2350.0,1792.3448328934921,82.64764192673242,69.72972972972973,0.0,1.0,0,1,False,False,0,7.992157333839322,0.12512266190831028,0.7807582643481513,0.4520525690657932,0.8622539301221126,0.0
1,2956,3562,DB01,TN004,DB,TN_major,1350.0,1450.0,1350.0,1750.0,300.0,100.0,107.28571428571429,1662.0770138594662,0.11553253215504648,1,0,False,False,0,1.349400727231804,0.741069705847444,0.13068215167408248,0.6955251792154594,0.8333333333333334,0.0
2,2956,4282,DB01,TN005,DB,TN_major,1350.0,1450.0,2000.0,2100.0,919.2388155425118,100.0,104.15,934.0770846134702,0.5057865053076862,1,0,False,False,0,1.2318742573914883,0.8117711641426086,0.4004270210581016,0.6751965804354603,0.8333333333333334,0.0
3,2956,3709,DB01,TN011,DB,TN_major,1350.0,1450.0,3650.0,1800.0,2326.4780248263683,87.31832980412916,46.6875,150.0,0.9825754689579004,1,0,False,False,0,1.3541292885366498,0.738481922269518,1.0134305136892643,0.30267153479674075,0.8544694503264514,0.0
4,2956,2962,DB01,TN019,DB,TN_minor,1350.0,1450.0,1650.0,1450.0,300.0,100.0,96.0,1540.2921800749364,0.15668534995884562,1,0,False,False,0,1.365406534813274,0.7323826087713539,0.13068215167408248,0.62236074624872,0.8333333333333334,0.0
5,2956,5571,DB01,TN022,DB,TN_minor,1350.0,1450.0,800.0,2750.0,1411.5594213493105,92.60723449652265,77.1,1778.270880550417,0.08454209336221032,1,0,False,False,0,1.5961138889891842,0.6265217080676481,0.6148854079925024,0.49983347433100317,0.8456546091724623,0.0
6,2956,4888,DB01,TN024,DB,TN_minor,1350.0,1450.0,2000.0,2400.0,1151.0864433221338,100.0,99.44,901.3878188659974,0.530059706503893,1,0,False,False,0,1.26025356623211,0.7934911090867113,0.5014215105873442,0.6446620063226324,0.8333333333333334,0.0
7,2956,4710,DB01,TN027,DB,TN_minor,1350.0,1450.0,3200.0,2300.0,2035.9273071502332,100.0,68.14285714285714,170.718640614962,0.9774878494935632,1,0,False,False,0,1.2343487575492424,0.8101438056983717,0.8868645371680437,0.44176499398904673,0.8333333333333334,0.0
8,2956,4314,DB01,TN030,DB,TN_minor,1350.0,1450.0,3600.0,2100.0,2342.0076857260738,100.0,58.791666666666664,434.4868918762835,0.862876689682511,1,0,False,False,0,1.3552985701437124,0.7378447982085324,1.020195345359739,0.38114193270700686,0.8333333333333334,0.0
9,2711,3406,DB02,FLZ01,DB,FLZ,4250.0,1300.0,3650.0,1650.0,694.6221994724903,163.1951379827984,75.46666666666667,0.0,1.0,0,1,False,False,0,7.719771479675351,0.1295375132065508,0.3025824120921625,0.48924469774552154,0.7280081033620027,0.0
