route_key,direction,dk_name,db_name,edge_seq,from_node_id,to_node_id,from_name,to_name,from_role,to_role,x1,y1,x2,y2,edge_distance_m,edge_cost,nofly_clearance_m,nearest_flz_distance_m,route_hit_density,is_outer_zone_edge
DK01_to_DB01_forward,forward,DK01,DB01,0,7213,6805,DK01,TN015,DK,TN_minor,2100.0,3550.0,1900.0,3350.0,282.842712474619,0.27693452297832105,459.7704741377904,514.78150704935,145.0,0
DK01_to_DB01_forward,forward,DK01,DB01,1,6805,7413,TN015,TN003,TN_minor,TN_major,1900.0,3350.0,2000.0,3650.0,316.22776601683796,0.4197449569022497,320.1562118716424,494.9747468305833,171.875,0
DK01_to_DB01_forward,forward,DK01,DB01,2,7413,4888,TN003,TN024,TN_major,TN_minor,2000.0,3650.0,2000.0,2400.0,1250.0,0.7342747411343351,300.0,494.9747468305833,116.57692307692308,0
DK01_to_DB01_forward,forward,DK01,DB01,3,4888,2956,TN024,DB01,TN_minor,DB,2000.0,2400.0,1350.0,1450.0,1151.0864433221338,1.26025356623211,100.0,901.3878188659974,99.44,0
DB01_to_DK01_backward,backward,DK01,DB01,0,2956,4888,DB01,TN024,DB,TN_minor,1350.0,1450.0,2000.0,2400.0,1151.0864433221338,1.26025356623211,100.0,901.3878188659974,99.44,0
DB01_to_DK01_backward,backward,DK01,DB01,1,4888,7413,TN024,TN003,TN_minor,TN_major,2000.0,2400.0,2000.0,3650.0,1250.0,0.7342747411343351,300.0,494.9747468305833,116.57692307692308,0
DB01_to_DK01_backward,backward,DK01,DB01,2,7413,6805,TN003,TN015,TN_major,TN_minor,2000.0,3650.0,1900.0,3350.0,316.22776601683796,0.4197449569022497,320.1562118716424,494.9747468305833,171.875,0
DB01_to_DK01_backward,backward,DK01,DB01,3,6805,7213,TN015,DK01,TN_minor,DK,1900.0,3350.0,2100.0,3550.0,282.842712474619,0.27693452297832105,459.7704741377904,514.78150704935,145.0,0
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,0,7213,6912,DK01,TN016,DK,TN_minor,2100.0,3550.0,2200.0,3400.0,180.27756377319946,4.67591081036513,460.9772228646444,514.78150704935,130.2,0
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,1,6912,7321,TN016,TN010,TN_minor,TN_major,2200.0,3400.0,2450.0,3600.0,320.1562118716424,0.15000000000000002,636.3961030678928,412.31056256176606,134.5,0
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,2,7321,8325,TN010,TN018,TN_major,TN_minor,2450.0,3600.0,2150.0,4100.0,583.09518948453,1.4700503598718444,380.7886552931954,120.18504251546648,102.84615384615384,0
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,3,8325,9510,TN018,TN013,TN_minor,TN_minor,2150.0,4100.0,800.0,4700.0,1477.3286702694156,0.26707774857974914,203.5313243704762,223.60679774997897,143.96774193548387,1
