iteration,best_fitness,mean_particle_best_fitness,best_aco_alpha,best_aco_beta,best_aco_evaporation,best_aco_pheromone_q,best_distance_weight,best_density_weight,best_clearance_weight,best_emergency_weight,best_tn_bonus,best_flz_penalty
0,-19991898.739142325,-19992167.53164413,0.902897973315562,3.6561043751569455,0.34293603546360274,0.8514877688616375,0.28729346262462185,1.0197179831107714,1.0380682956349732,0.8309755151635501,3.1755499625526062,3.124273707050764
1,-19991864.614596765,-19992010.83885237,0.9839328711027093,3.585310049036734,0.30310929042513113,2.5689853504814915,0.25,0.8129758581174775,1.0,0.5,2.8052628321918203,2.5337763021593016
2,-19991843.43520122,-19991893.379049554,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
3,-19991843.43520122,-19991882.44449623,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
4,-19991843.43520122,-19991877.35993913,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
5,-19991843.43520122,-19991870.793302305,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
6,-19991843.43520122,-19991867.204457313,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
7,-19991843.43520122,-19991863.03724975,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
8,-19991843.43520122,-19991859.41914419,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
9,-19991843.43520122,-19991856.990219105,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
10,-19991843.43520122,-19991854.315192882,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
11,-19991843.43520122,-19991853.260354348,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
12,-19991843.43520122,-19991851.688374877,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
13,-19991843.43520122,-19991850.773170475,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
14,-19991843.43520122,-19991849.730512153,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
15,-19991843.43520122,-19991848.76004125,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
16,-19991843.43520122,-19991848.494323134,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
17,-19991843.43520122,-19991848.12634223,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
18,-19991843.43520122,-19991847.16929903,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
19,-19991843.43520122,-19991846.46298173,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
20,-19991843.43520122,-19991845.986393888,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
21,-19991843.43520122,-19991845.777163036,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
22,-19991843.43520122,-19991845.3505104,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
23,-19991843.43520122,-19991845.068802092,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
24,-19991843.43520122,-19991844.841006316,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
25,-19991843.43520122,-19991844.634033497,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
26,-19991843.43520122,-19991844.43395222,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
27,-19991843.43520122,-19991844.286141563,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
28,-19991843.43520122,-19991844.171444893,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
29,-19991843.43520122,-19991844.064553913,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
30,-19991843.43520122,-19991843.967713375,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
31,-19991843.43520122,-19991843.848236486,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
32,-19991843.43520122,-19991843.826797772,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
33,-19991843.43520122,-19991843.762978796,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
34,-19991843.43520122,-19991843.71198443,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
35,-19991843.43520122,-19991843.676885977,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
36,-19991843.43520122,-19991843.626347754,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
37,-19991843.43520122,-19991843.5908697,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
38,-19991843.43520122,-19991843.57068876,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
39,-19991843.43520122,-19991843.544887662,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
40,-19991843.43520122,-19991843.533704855,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
41,-19991843.43520122,-19991843.5213303,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
42,-19991843.43520122,-19991843.511642244,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
43,-19991843.43520122,-19991843.50088885,0.6,2.8124529807760026,0.33732126488605535,0.523583139254415,0.25,0.5,1.0,0.5,3.3249241046829594,3.446890305814906
