pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DB01_to_DB02,forward,main,0,2956,3058,1350.0,1450.0,1400.0,1500.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,1,3058,3160,1400.0,1500.0,1450.0,1550.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,2,3160,3262,1450.0,1550.0,1500.0,1600.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,3,3262,3364,1500.0,1600.0,1550.0,1650.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,4,3364,3365,1550.0,1650.0,1600.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,5,3365,3366,1600.0,1650.0,1650.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,6,3366,3367,1650.0,1650.0,1700.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,7,3367,3368,1700.0,1650.0,1750.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,8,3368,3369,1750.0,1650.0,1800.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,9,3369,3370,1800.0,1650.0,1850.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,10,3370,3371,1850.0,1650.0,1900.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,11,3371,3372,1900.0,1650.0,1950.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,12,3372,3373,1950.0,1650.0,2000.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,13,3373,3374,2000.0,1650.0,2050.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,14,3374,3375,2050.0,1650.0,2100.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,15,3375,3376,2100.0,1650.0,2150.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,16,3376,3377,2150.0,1650.0,2200.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,17,3377,3378,2200.0,1650.0,2250.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,18,3378,3379,2250.0,1650.0,2300.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,19,3379,3380,2300.0,1650.0,2350.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,20,3380,3381,2350.0,1650.0,2400.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,21,3381,3382,2400.0,1650.0,2450.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,22,3382,3383,2450.0,1650.0,2500.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,23,3383,3384,2500.0,1650.0,2550.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,24,3384,3385,2550.0,1650.0,2600.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,25,3385,3386,2600.0,1650.0,2650.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,26,3386,3387,2650.0,1650.0,2700.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,27,3387,3388,2700.0,1650.0,2750.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,28,3388,3389,2750.0,1650.0,2800.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,29,3389,3390,2800.0,1650.0,2850.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,30,3390,3391,2850.0,1650.0,2900.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,31,3391,3392,2900.0,1650.0,2950.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,32,3392,3393,2950.0,1650.0,3000.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,33,3393,3394,3000.0,1650.0,3050.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,34,3394,3395,3050.0,1650.0,3100.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,35,3395,3396,3100.0,1650.0,3150.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,36,3396,3397,3150.0,1650.0,3200.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,37,3397,3398,3200.0,1650.0,3250.0,1650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,38,3398,3298,3250.0,1650.0,3300.0,1600.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,39,3298,3198,3300.0,1600.0,3350.0,1550.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,40,3198,3098,3350.0,1550.0,3400.0,1500.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,41,3098,3099,3400.0,1500.0,3450.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,42,3099,3100,3450.0,1500.0,3500.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,43,3100,3101,3500.0,1500.0,3550.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,44,3101,3102,3550.0,1500.0,3600.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,45,3102,3103,3600.0,1500.0,3650.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,46,3103,3104,3650.0,1500.0,3700.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,47,3104,3105,3700.0,1500.0,3750.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,48,3105,3106,3750.0,1500.0,3800.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,49,3106,3107,3800.0,1500.0,3850.0,1500.0,50.0,1,forward_main_01
