edge_key,x1,y1,x2,y2,edge_distance_m,edge_hit_count,edge_visit_count,pair_hit_count,direction_hit_count,route_ids,pairs,directions
2711|2811,4217.441860465116,1332.5581395348838,4232.558139534884,1317.4418604651162,70.71067811865477,43,43,7,2,DB01_to_DB02_backward_main_02;DB01_to_DB02_forward_backup_01;DB01_to_DB02_forward_main_01;DB01_to_DB02_forward_main_04;DB02_to_DK01_backward_backup_01;DB02_to_DK01_backward_main_01;DB02_to_DK01_backward_main_03;DB02_to_DK01_forward_backup_01;DB02_to_DK01_forward_main_01;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_backup_02;DB02_to_DK02_backward_main_01;DB02_to_DK02_backward_main_02;DB02_to_DK02_backward_main_03;DB02_to_DK02_forward_backup_01;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_04;DB02_to_DK03_backward_backup_01;DB02_to_DK03_backward_backup_02;DB02_to_DK03_backward_main_01;DB02_to_DK03_backward_main_02;DB02_to_DK03_forward_backup_01;DB02_to_DK03_forward_main_01;DB02_to_DK04_backward_backup_02;DB02_to_DK04_backward_main_01;DB02_to_DK04_backward_main_02;DB02_to_DK04_backward_main_04;DB02_to_DK04_forward_backup_01;DB02_to_DK04_forward_main_01;DB02_to_DK04_forward_main_03;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_backup_04;DB02_to_DK05_backward_main_02;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_main_01;DB02_to_DK06_backward_backup_01;DB02_to_DK06_backward_backup_02;DB02_to_DK06_backward_backup_04;DB02_to_DK06_backward_main_02;DB02_to_DK06_backward_main_04;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_main_01,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
9104|9105,729.2682926829268,4500.0,720.7317073170732,4500.0,50.0,41,41,12,2,DB01_to_DK02_forward_main_04;DB01_to_DK05_backward_backup_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_forward_backup_01;DB01_to_DK05_forward_backup_02;DB01_to_DK05_forward_main_01;DB01_to_DK05_forward_main_02;DB02_to_DK02_forward_main_03;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_main_02;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_04;DK01_to_DK02_backward_main_03;DK01_to_DK05_backward_backup_01;DK01_to_DK05_backward_backup_03;DK01_to_DK05_backward_main_01;DK01_to_DK05_backward_main_03;DK01_to_DK05_forward_backup_01;DK01_to_DK05_forward_main_01;DK02_to_DK03_backward_main_01;DK02_to_DK04_backward_backup_03;DK02_to_DK04_backward_main_03;DK02_to_DK04_forward_backup_03;DK02_to_DK06_backward_main_01;DK03_to_DK05_backward_main_03;DK03_to_DK05_forward_backup_04;DK03_to_DK05_forward_main_01;DK03_to_DK05_forward_main_04;DK04_to_DK05_backward_backup_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_04;DK04_to_DK05_forward_main_01;DK04_to_DK05_forward_main_04;DK05_to_DK06_backward_backup_01;DK05_to_DK06_backward_backup_02;DK05_to_DK06_forward_backup_01;DK05_to_DK06_forward_main_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
8086|8187,300.0,4027.6315789473683,300.0,4022.3684210526317,50.0,38,38,7,2,DB01_to_DK02_backward_backup_02;DB01_to_DK02_backward_main_02;DB01_to_DK02_forward_backup_02;DB01_to_DK02_forward_backup_04;DB01_to_DK02_forward_main_04;DB02_to_DK02_backward_backup_02;DB02_to_DK02_backward_main_02;DB02_to_DK02_backward_main_03;DB02_to_DK02_forward_backup_02;DB02_to_DK02_forward_backup_03;DB02_to_DK02_forward_main_03;DK01_to_DK02_backward_backup_02;DK01_to_DK02_backward_backup_03;DK01_to_DK02_backward_main_02;DK01_to_DK02_backward_main_03;DK01_to_DK02_forward_backup_02;DK02_to_DK03_backward_backup_01;DK02_to_DK03_backward_backup_02;DK02_to_DK03_backward_main_01;DK02_to_DK03_backward_main_02;DK02_to_DK03_forward_backup_01;DK02_to_DK03_forward_main_01;DK02_to_DK04_backward_backup_02;DK02_to_DK04_backward_backup_03;DK02_to_DK04_backward_main_02;DK02_to_DK04_backward_main_03;DK02_to_DK04_forward_backup_02;DK02_to_DK04_forward_backup_03;DK02_to_DK04_forward_main_03;DK02_to_DK05_backward_backup_01;DK02_to_DK05_backward_main_01;DK02_to_DK05_backward_main_02;DK02_to_DK05_forward_backup_01;DK02_to_DK06_backward_backup_01;DK02_to_DK06_backward_main_01;DK02_to_DK06_backward_main_02;DK02_to_DK06_forward_backup_01;DK02_to_DK06_forward_main_01,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06,backward;forward
6881|6981,627.1428571428571,3422.8571428571427,622.8571428571429,3427.1428571428573,70.71067811865477,35,35,19,2,DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_main_03;DB01_to_DK06_forward_main_03;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK05_forward_main_03;DB02_to_DK06_forward_main_04;DK01_to_DK02_backward_backup_01;DK01_to_DK02_backward_main_01;DK01_to_DK02_forward_backup_01;DK01_to_DK04_forward_backup_03;DK01_to_DK04_forward_main_03;DK01_to_DK05_forward_main_04;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_main_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_main_03;DK02_to_DK06_backward_backup_04;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_backup_02;DK03_to_DK04_forward_backup_03;DK03_to_DK04_forward_main_03;DK03_to_DK05_forward_main_03;DK03_to_DK06_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_02;DK04_to_DK06_forward_backup_03;DK04_to_DK06_forward_main_03;DK05_to_DK06_forward_main_04,DB01_to_DK02;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK04;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
6981|7081,577.1428571428571,3472.8571428571427,572.8571428571429,3477.1428571428573,70.71067811865477,35,35,19,2,DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_main_03;DB01_to_DK06_forward_main_03;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK05_forward_main_03;DB02_to_DK06_forward_main_04;DK01_to_DK02_backward_backup_01;DK01_to_DK02_backward_main_01;DK01_to_DK02_forward_backup_01;DK01_to_DK04_forward_backup_03;DK01_to_DK04_forward_main_03;DK01_to_DK05_forward_main_04;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_main_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_main_03;DK02_to_DK06_backward_backup_04;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_backup_02;DK03_to_DK04_forward_backup_03;DK03_to_DK04_forward_main_03;DK03_to_DK05_forward_main_03;DK03_to_DK06_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_02;DK04_to_DK06_forward_backup_03;DK04_to_DK06_forward_main_03;DK05_to_DK06_forward_main_04,DB01_to_DK02;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK04;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
7081|7181,527.1428571428571,3522.8571428571427,522.8571428571429,3527.1428571428573,70.71067811865477,35,35,19,2,DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK05_forward_main_03;DB01_to_DK06_forward_main_03;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK05_forward_main_03;DB02_to_DK06_forward_main_04;DK01_to_DK02_backward_backup_01;DK01_to_DK02_backward_main_01;DK01_to_DK02_forward_backup_01;DK01_to_DK04_forward_backup_03;DK01_to_DK04_forward_main_03;DK01_to_DK05_forward_main_04;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_main_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_main_03;DK02_to_DK06_backward_backup_04;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_backup_02;DK03_to_DK04_forward_backup_03;DK03_to_DK04_forward_main_03;DK03_to_DK05_forward_main_03;DK03_to_DK06_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_02;DK04_to_DK06_forward_backup_03;DK04_to_DK06_forward_main_03;DK05_to_DK06_forward_main_04,DB01_to_DK02;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK04;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward
9151|9253,3075.714285714286,4525.714285714285,3074.285714285714,4524.285714285715,70.71067811865477,35,35,7,2,DB01_to_DK03_backward_backup_01;DB01_to_DK03_backward_backup_03;DB01_to_DK03_backward_main_03;DB01_to_DK03_forward_backup_01;DB01_to_DK03_forward_main_01;DB02_to_DK03_backward_backup_02;DB02_to_DK03_backward_main_02;DB02_to_DK03_forward_backup_03;DK01_to_DK03_backward_backup_01;DK01_to_DK03_backward_backup_02;DK01_to_DK03_forward_backup_01;DK01_to_DK03_forward_main_01;DK02_to_DK03_backward_backup_01;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_01;DK02_to_DK03_forward_main_01;DK03_to_DK04_backward_backup_02;DK03_to_DK04_backward_main_01;DK03_to_DK04_backward_main_02;DK03_to_DK04_backward_main_03;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_backup_01;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK03_to_DK05_backward_backup_02;DK03_to_DK05_backward_backup_03;DK03_to_DK05_backward_main_03;DK03_to_DK05_forward_backup_01;DK03_to_DK05_forward_backup_03;DK03_to_DK05_forward_backup_04;DK03_to_DK05_forward_main_04;DK03_to_DK06_backward_backup_03;DK03_to_DK06_backward_main_03;DK03_to_DK06_forward_backup_03,DB01_to_DK03;DB02_to_DK03;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward
2329|2430,300.0,1171.2121212121212,300.0,1178.7878787878788,50.0,33,33,7,2,DB01_to_DK04_backward_backup_01;DB01_to_DK04_backward_backup_02;DB01_to_DK04_backward_main_02;DB01_to_DK04_backward_main_03;DB01_to_DK04_forward_backup_02;DB01_to_DK04_forward_backup_04;DB02_to_DK04_backward_backup_02;DB02_to_DK04_backward_main_02;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_backup_02;DK02_to_DK04_backward_main_01;DK02_to_DK04_backward_main_02;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_backup_01;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK04_to_DK05_backward_backup_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_04;DK04_to_DK05_forward_main_01;DK04_to_DK06_backward_backup_01;DK04_to_DK06_backward_main_01;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_backup_01;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
2811|2911,4171.212121212121,1378.7878787878788,4178.787878787879,1371.2121212121212,70.71067811865476,33,33,7,2,DB01_to_DB02_backward_main_02;DB01_to_DB02_forward_backup_01;DB01_to_DB02_forward_main_01;DB02_to_DK01_backward_backup_01;DB02_to_DK01_backward_main_03;DB02_to_DK01_forward_backup_01;DB02_to_DK01_forward_main_01;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_backup_02;DB02_to_DK02_backward_main_01;DB02_to_DK02_backward_main_02;DB02_to_DK02_forward_backup_01;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_04;DB02_to_DK03_backward_backup_01;DB02_to_DK03_backward_backup_02;DB02_to_DK03_forward_backup_01;DB02_to_DK03_forward_main_01;DB02_to_DK04_backward_backup_02;DB02_to_DK04_backward_main_01;DB02_to_DK04_backward_main_02;DB02_to_DK04_backward_main_04;DB02_to_DK04_forward_backup_01;DB02_to_DK04_forward_main_01;DB02_to_DK05_backward_backup_04;DB02_to_DK05_backward_main_02;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_main_01;DB02_to_DK06_backward_backup_02;DB02_to_DK06_backward_main_02;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_main_01,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
6276|6377,700.0,3127.2727272727275,700.0,3122.7272727272725,50.0,33,33,15,2,DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK05_backward_backup_03;DB01_to_DK05_backward_main_03;DB01_to_DK05_forward_backup_03;DB01_to_DK06_forward_backup_03;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK05_backward_backup_04;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_03;DB02_to_DK06_forward_backup_04;DK01_to_DK02_backward_backup_01;DK01_to_DK02_backward_main_01;DK01_to_DK02_forward_backup_01;DK01_to_DK05_forward_backup_04;DK02_to_DK03_backward_backup_04;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_main_01;DK02_to_DK04_forward_backup_01;DK02_to_DK05_forward_backup_03;DK02_to_DK06_backward_backup_04;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_backup_02;DK03_to_DK05_backward_backup_04;DK03_to_DK05_backward_main_04;DK03_to_DK05_forward_backup_03;DK03_to_DK06_backward_backup_01;DK05_to_DK06_forward_backup_04,DB01_to_DK02;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK03_to_DK06;DK05_to_DK06,backward;forward
