route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB01_to_DB02_backward_backup_01,DB01_to_DB02,backward_backup_01,backward,backup,1,4283.452377915608,73,2,2;0,2:0.055;0:0.027
DB01_to_DB02_backward_backup_02,DB01_to_DB02,backward_backup_02,backward,backup,2,3427.817459305202,65,2,2;0,2:0.108;0:0.092
DB01_to_DB02_backward_backup_03,DB01_to_DB02,backward_backup_03,backward,backup,3,3952.081528017131,73,2,2;0,2:0.151;0:0.096
DB01_to_DB02_backward_backup_04,DB01_to_DB02,backward_backup_04,backward,backup,4,5583.452377915608,99,2,2;0,2:0.030;0:0.131
DB01_to_DB02_backward_main_01,DB01_to_DB02,backward_main_01,backward,main,1,4424.873734152917,75,2,2;0,2:0.053;0:0.027
DB01_to_DB02_backward_main_02,DB01_to_DB02,backward_main_02,backward,main,2,3227.8174593052026,61,2,2;0,2:0.131;0:0.066
DB01_to_DB02_backward_main_03,DB01_to_DB02,backward_main_03,backward,main,3,3527.8174593052026,67,2,2;0,2:0.149;0:0.075
DB01_to_DB02_backward_main_04,DB01_to_DB02,backward_main_04,backward,main,4,5342.031021678297,95,2,2;0,2:0.021;0:0.074
DB01_to_DB02_forward_backup_01,DB01_to_DB02,forward_backup_01,forward,backup,1,3227.8174593052026,61,2,0;2,0:0.066;2:0.131
DB01_to_DB02_forward_backup_02,DB01_to_DB02,forward_backup_02,forward,backup,2,3752.081528017131,69,2,0;2,0:0.043;2:0.159
DB01_to_DB02_forward_backup_03,DB01_to_DB02,forward_backup_03,forward,backup,3,4283.452377915608,73,2,0;2,0:0.027;2:0.055
DB01_to_DB02_forward_backup_04,DB01_to_DB02,forward_backup_04,forward,backup,4,3427.817459305202,65,2,0;2,0:0.092;2:0.108
DB01_to_DB02_forward_main_01,DB01_to_DB02,forward_main_01,forward,main,1,3127.8174593052026,59,2,0;2,0:0.051;2:0.068
DB01_to_DB02_forward_main_02,DB01_to_DB02,forward_main_02,forward,main,2,3934.9242404917504,71,2,0;2,0:0.099;2:0.113
DB01_to_DB02_forward_main_03,DB01_to_DB02,forward_main_03,forward,main,3,4183.452377915607,71,2,0;2,0:0.028;2:0.056
DB01_to_DB02_forward_main_04,DB01_to_DB02,forward_main_04,forward,main,4,3327.8174593052026,63,2,0;2,0:0.032;2:0.063
DB01_to_DK01_backward_backup_01,DB01_to_DK01,backward_backup_01,backward,backup,1,4061.2698372208097,64,1,0,0:0.109
DB01_to_DK01_backward_backup_02,DB01_to_DK01,backward_backup_02,backward,backup,2,2410.660171779821,43,1,0,0:0.302
DB01_to_DK01_backward_backup_03,DB01_to_DK01,backward_backup_03,backward,backup,3,2552.081528017131,45,1,0,0:0.400
DB01_to_DK01_backward_backup_04,DB01_to_DK01,backward_backup_04,backward,backup,4,2439.9494936611663,44,1,0,0:0.500
DB01_to_DK01_backward_main_01,DB01_to_DK01,backward_main_01,backward,main,1,4302.6911934581185,68,1,0,0:0.088
DB01_to_DK01_backward_main_02,DB01_to_DK01,backward_main_02,backward,main,2,2410.660171779821,43,1,0,0:0.233
DB01_to_DK01_backward_main_03,DB01_to_DK01,backward_main_03,backward,main,3,2481.370849898476,44,1,0,0:0.205
DB01_to_DK01_backward_main_04,DB01_to_DK01,backward_main_04,backward,main,4,2410.660171779821,43,1,0,0:0.326
DB01_to_DK01_forward_backup_01,DB01_to_DK01,forward_backup_01,forward,backup,1,2410.660171779821,43,1,0,0:0.302
DB01_to_DK01_forward_backup_02,DB01_to_DK01,forward_backup_02,forward,backup,2,2552.081528017131,45,1,0,0:0.556
DB01_to_DK01_forward_backup_03,DB01_to_DK01,forward_backup_03,forward,backup,3,3737.0057685088805,60,1,0,0:0.217
DB01_to_DK01_forward_backup_04,DB01_to_DK01,forward_backup_04,forward,backup,4,2552.081528017131,45,1,0,0:0.400
DB01_to_DK01_forward_main_01,DB01_to_DK01,forward_main_01,forward,main,1,2410.660171779821,43,1,0,0:0.326
DB01_to_DK01_forward_main_02,DB01_to_DK01,forward_main_02,forward,main,2,2722.792206135786,48,1,0,0:0.292
DB01_to_DK01_forward_main_03,DB01_to_DK01,forward_main_03,forward,main,3,3637.0057685088805,58,1,0,0:0.172
DB01_to_DK01_forward_main_04,DB01_to_DK01,forward_main_04,forward,main,4,2622.792206135786,46,1,0,0:0.196
DB01_to_DK02_backward_backup_01,DB01_to_DK02,backward_backup_01,backward,backup,1,3026.3455967290593,52,1,0,0:0.865
DB01_to_DK02_backward_backup_02,DB01_to_DK02,backward_backup_02,backward,backup,2,4974.873734152917,86,1,0,0:0.581
DB01_to_DK02_backward_backup_03,DB01_to_DK02,backward_backup_03,backward,backup,3,5187.005768508881,89,1,0,0:0.461
DB01_to_DK02_backward_backup_04,DB01_to_DK02,backward_backup_04,backward,backup,4,6199.137802864845,108,1,0,0:0.241
DB01_to_DK02_backward_main_01,DB01_to_DK02,backward_main_01,backward,main,1,3026.3455967290593,52,1,0,0:0.865
DB01_to_DK02_backward_main_02,DB01_to_DK02,backward_main_02,backward,main,2,4592.031021678297,80,1,0,0:0.775
DB01_to_DK02_backward_main_03,DB01_to_DK02,backward_main_03,backward,main,3,5187.005768508881,89,1,0,0:0.461
DB01_to_DK02_backward_main_04,DB01_to_DK02,backward_main_04,backward,main,4,5916.2950903902265,104,1,0,0:0.365
DB01_to_DK02_forward_backup_01,DB01_to_DK02,forward_backup_01,forward,backup,1,3026.3455967290597,52,1,0,0:0.865
DB01_to_DK02_forward_backup_02,DB01_to_DK02,forward_backup_02,forward,backup,2,4592.031021678298,80,1,0,0:0.762
DB01_to_DK02_forward_backup_03,DB01_to_DK02,forward_backup_03,forward,backup,3,5816.2950903902265,102,1,0,0:0.529
DB01_to_DK02_forward_backup_04,DB01_to_DK02,forward_backup_04,forward,backup,4,5016.2950903902265,86,1,0,0:0.570
DB01_to_DK02_forward_main_01,DB01_to_DK02,forward_main_01,forward,main,1,2984.92424049175,52,1,0,0:0.635
DB01_to_DK02_forward_main_02,DB01_to_DK02,forward_main_02,forward,main,2,4421.320343559643,77,1,0,0:0.416
