seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB01_to_DB02,forward,main,2956,1350.0,1450.0,0.0,0.08223623218363095,0.085,0.08128728871673702,0.9187127112832629,0.0,0.0,0.0,0,0,1,DB01,DB
1,DB01_to_DB02,forward,main,3058,1400.0,1500.0,0.0,0.08166625965751947,0.085,0.09805118654354497,0.9019488134564551,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB01_to_DB02,forward,main,3159,1400.0,1550.0,0.0,0.08144431395617396,0.085,0.10457900128900145,0.8954209987109986,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB01_to_DB02,forward,main,3260,1400.0,1600.0,0.0,0.08122237728799171,0.085,0.1111065503531848,0.8888934496468152,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB01_to_DB02,forward,main,3362,1450.0,1650.0,0.0,0.08051396203249693,0.085,0.1319422931618549,0.8680577068381451,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB01_to_DB02,forward,main,3464,1500.0,1700.0,0.0,0.07971415549368048,0.085,0.15546601489175052,0.8445339851082495,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB01_to_DB02,forward,main,3566,1550.0,1750.0,0.0,0.07882022168407812,0.085,0.18175818576240843,0.8182418142375916,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB01_to_DB02,forward,main,3567,1600.0,1750.0,0.0,0.07814623576556864,0.085,0.20158130101268698,0.798418698987313,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB01_to_DB02,forward,main,3568,1650.0,1750.0,0.0,0.0774283773316085,0.085,0.2226947843644562,0.7773052156355438,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB01_to_DB02,forward,main,3569,1700.0,1750.0,0.0,0.07666794166565212,0.085,0.2450605392455259,0.7549394607544742,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB01_to_DB02,forward,main,3570,1750.0,1750.0,0.0,0.07586687970018456,0.085,0.2686211852886895,0.7313788147113105,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB01_to_DB02,forward,main,3571,1800.0,1750.0,0.0,0.0750278318810851,0.085,0.29329906232102687,0.7067009376789731,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB01_to_DB02,forward,main,3572,1850.0,1750.0,0.0,0.07415415128765902,0.085,0.31899555036296995,0.68100444963703,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB01_to_DB02,forward,main,3573,1900.0,1750.0,0.0,0.07324991441238286,0.085,0.3455907525769745,0.6544092474230254,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB01_to_DB02,forward,main,3574,1950.0,1750.0,0.0,0.0723199182060384,0.085,0.3729435821753413,0.6270564178246587,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB01_to_DB02,forward,main,3575,2000.0,1750.0,0.0,0.07136966225930337,0.085,0.4008922864910774,0.5991077135089227,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB01_to_DB02,forward,main,3576,2050.0,1750.0,0.0,0.07040531531704317,0.085,0.4292554318516718,0.5707445681483282,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB01_to_DB02,forward,main,3577,2100.0,1750.0,0.0,0.06943366569976511,0.085,0.45783336177161427,0.5421666382283857,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB01_to_DB02,forward,main,3578,2150.0,1750.0,0.0,0.06846205562850935,0.085,0.4864101285732544,0.5135898714267456,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB01_to_DB02,forward,main,3579,2200.0,1750.0,0.0,0.06749829990290737,0.085,0.514755885208607,0.48524411479139296,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB01_to_DB02,forward,main,3580,2250.0,1750.0,0.0,0.06655058985312931,0.085,0.5426297102020793,0.4573702897979207,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB01_to_DB02,forward,main,3581,2300.0,1750.0,0.0,0.06562738395914862,0.085,0.569782824730923,0.430217175269077,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB01_to_DB02,forward,main,3582,2350.0,1750.0,0.0,0.0647372869882475,0.085,0.5959621474044855,0.4040378525955145,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB01_to_DB02,forward,main,3583,2400.0,1750.0,0.0,0.06388891992659275,0.085,0.6209141198060958,0.3790858801939042,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB01_to_DB02,forward,main,3584,2450.0,1750.0,0.0,0.06309078335594337,0.085,0.6443887248251953,0.35561127517480473,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB01_to_DB02,forward,main,3585,2500.0,1750.0,0.0,0.062351117236081416,0.085,0.6661436107034878,0.3338563892965122,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DB01_to_DB02,forward,main,3586,2550.0,1750.0,0.0,0.06167776028317076,0.085,0.6859482269655657,0.3140517730344343,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DB01_to_DB02,forward,main,3587,2600.0,1750.0,0.0,0.06107801227224867,0.085,0.7035878743456275,0.29641212565437247,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DB01_to_DB02,forward,main,3588,2650.0,1750.0,0.0,0.06055850262988803,0.085,0.7188675697091758,0.28113243029082424,0.0,0.0,0.0,0,0,0,NONE,NONE
29,DB01_to_DB02,forward,main,3589,2700.0,1750.0,0.0,0.06012506861581418,0.085,0.7316156289466418,0.2683843710533582,0.0,0.0,0.0,0,0,0,NONE,NONE
