seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DK05_to_DK06,forward,main,9104,700.0,4500.0,0.0,0.08166625965751947,0.085,0.09805118654354497,0.9019488134564551,0.0,0.0,0.0,0,0,1,DK05,DK
1,DK05_to_DK06,forward,main,9103,650.0,4500.0,0.0,0.08207517244141461,0.085,0.08602433995839362,0.9139756600416064,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DK05_to_DK06,forward,main,9102,600.0,4500.0,0.0,0.08244393261502594,0.085,0.07517845249923723,0.9248215475007627,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DK05_to_DK06,forward,main,9101,550.0,4500.0,0.0,0.08277490853059946,0.085,0.06544386674707503,0.934556133252925,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DK05_to_DK06,forward,main,8999,500.0,4450.0,0.0,0.08299763441399045,0.085,0.05889310547086914,0.9411068945291309,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DK05_to_DK06,forward,main,9099,450.0,4500.0,0.0,0.08333348349181838,0.085,0.049015191417106724,0.9509848085828932,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DK05_to_DK06,forward,main,9200,450.0,4550.0,0.0,0.08340045390301142,0.085,0.04704547344084097,0.952954526559159,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DK05_to_DK06,forward,main,9301,450.0,4600.0,0.0,0.08347071848875175,0.085,0.044978867977889685,0.9550211320221104,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DK05_to_DK06,forward,main,9402,450.0,4650.0,0.0,0.0835435967051869,0.085,0.04283539102391491,0.9571646089760851,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DK05_to_DK06,forward,main,9502,400.0,4700.0,0.0,0.0838113182742062,0.085,0.03496122722923,0.96503877277077,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DK05_to_DK06,forward,main,9603,400.0,4750.0,0.0,0.08387677470488417,0.085,0.03303603809164216,0.9669639619083579,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DK05_to_DK06,forward,main,9705,450.0,4800.0,0.0,0.08377118778418673,0.085,0.036141535759214395,0.9638584642407856,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DK05_to_DK06,forward,main,9807,500.0,4850.0,0.0,0.0836661369585872,0.085,0.0392312659239061,0.9607687340760939,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DK05_to_DK06,forward,main,9909,550.0,4900.0,0.0,0.08356337297161427,0.085,0.04225373612899232,0.9577462638710077,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DK05_to_DK06,forward,main,10011,600.0,4950.0,0.0,0.08346473305014955,0.085,0.04515491028971929,0.9548450897102807,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DK05_to_DK06,forward,main,10113,650.0,5000.0,0.0,0.08337208830515071,0.085,0.04787975573086151,0.9521202442691384,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DK05_to_DK06,forward,main,10114,700.0,5000.0,0.0,0.08314449406592034,0.085,0.05457370394351974,0.9454262960564802,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DK05_to_DK06,forward,main,10115,750.0,5000.0,0.0,0.08289332573852191,0.085,0.061961007690531984,0.938038992309468,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DK05_to_DK06,forward,main,10116,800.0,5000.0,0.0,0.08261748321982677,0.085,0.07007402294627138,0.9299259770537286,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DK05_to_DK06,forward,main,10117,850.0,5000.0,0.0,0.08231602736188048,0.085,0.07894037170939774,0.9210596282906023,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DK05_to_DK06,forward,main,10118,900.0,5000.0,0.0,0.08198821658610084,0.085,0.08858186511468136,0.9114181348853186,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DK05_to_DK06,forward,main,10119,950.0,5000.0,0.0,0.08163354411562991,0.085,0.0990134083638263,0.9009865916361737,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DK05_to_DK06,forward,main,10120,1000.0,5000.0,0.0,0.08125177498116608,0.085,0.11024191231864496,0.889758087681355,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DK05_to_DK06,forward,main,10121,1050.0,5000.0,0.0,0.0808429818573755,0.085,0.12226523948895597,0.877734760511044,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DK05_to_DK06,forward,main,10122,1100.0,5000.0,0.0,0.08040757870784537,0.085,0.13507121447513626,0.8649287855248637,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DK05_to_DK06,forward,main,10123,1150.0,5000.0,0.0,0.07994635116170384,0.085,0.1486367305381225,0.8513632694618775,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DK05_to_DK06,forward,main,10124,1200.0,5000.0,0.0,0.0794604825193181,0.085,0.1629269847259384,0.8370730152740616,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DK05_to_DK06,forward,main,10125,1250.0,5000.0,0.0,0.07895157429206925,0.085,0.17789487376266921,0.8221051262373308,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DK05_to_DK06,forward,main,10126,1300.0,5000.0,0.0,0.07842166022536042,0.085,0.19348058160704673,0.8065194183929533,0.0,0.0,0.0,0,0,0,NONE,NONE
29,DK05_to_DK06,forward,main,10127,1350.0,5000.0,0.0,0.07787321283686267,0.085,0.2096113871510978,0.7903886128489022,0.0,0.0,0.0,0,0,0,NONE,NONE
30,DK05_to_DK06,forward,main,10027,1400.0,4950.0,0.0,0.07670042528265117,0.085,0.24410513874555384,0.7558948612544462,0.0,0.0,0.0,0,0,0,NONE,NONE
